topic,essay,label,reason
Advantages of learning to drive,I like eating ice cream daily.,irrelevant,Wrong topic
Advantages of learning to drive,The window is very clean.,irrelevant,Off-topic
Advantages of learning to drive,My uncle is a farmer.,irrelevant,Unrelated

Should college education be free,Free education promotes equal opportunities for all.,relevant,Addresses the topic
Should college education be free,Free college reduces student debt burden.,relevant,Relevant discussion
Should college education be free,Education is a basic right and should be free.,relevant,Relevant answer
Should college education be free,I enjoy going to the gym.,irrelevant,Wrong topic
Should college education be free,The floor is very shiny.,irrelevant,Off-topic
Should college education be free,My cousin is a lawyer.,irrelevant,Unrelated

Impact of electric vehicles,EVs reduce air pollution and emissions.,relevant,Addresses the topic
Impact of electric vehicles,Electric cars are environmentally friendly.,relevant,Relevant discussion
Impact of electric vehicles,Battery disposal is a challenge for EVs.,relevant,Relevant answer
Impact of electric vehicles,I like reading mystery novels.,irrelevant,Wrong topic
Impact of electric vehicles,The tree is very colorful.,irrelevant,Off-topic
Impact of electric vehicles,My aunt is a nurse.,irrelevant,Unrelated

Benefits of daily walking,Daily walking improves physical fitness and health.,relevant,Addresses the topic
Benefits of daily walking,Regular walking reduces stress and anxiety.,relevant,Relevant discussion
Benefits of daily walking,Walking is a simple and effective exercise.,relevant,Relevant answer
Benefits of daily walking,I enjoy cooking pasta dishes.,irrelevant,Wrong topic
Benefits of daily walking,The chair is very comfortable.,irrelevant,Off-topic
Benefits of daily walking,My father is a mechanic.,irrelevant,Unrelated

Should zoos be banned,Modern zoos protect endangered species from extinction.,relevant,Addresses the topic
Should zoos be banned,Animals in captivity experience suffering.,relevant,Relevant discussion
Should zoos be banned,Sanctuaries are better alternatives to zoos.,relevant,Relevant answer
Should zoos be banned,I like playing cricket with friends.,irrelevant,Wrong topic
Should zoos be banned,The river is very deep.,irrelevant,Off-topic
Should zoos be banned,My brother is a doctor.,irrelevant,Unrelated

Advantages of waking up early,Waking up early increases productivity.,relevant,Addresses the topic
Advantages of waking up early,Early risers have better mental health.,relevant,Relevant discussion
Advantages of waking up early,Morning hours are peaceful and quiet.,relevant,Relevant answer
Advantages of waking up early,I love eating chocolate desserts.,irrelevant,Wrong topic
Advantages of waking up early,The door is very old.,irrelevant,Off-topic
Advantages of waking up early,My cousin is an engineer.,irrelevant,Unrelated

Should advertising to children be banned,Advertising to children promotes unhealthy habits.,relevant,Addresses the topic
Should advertising to children be banned,Children are easily influenced by marketing.,relevant,Relevant discussion
Should advertising to children be banned,Regulation protects young consumers.,relevant,Relevant answer
Should advertising to children be banned,I enjoy traveling to new cities.,irrelevant,Wrong topic
Should advertising to children be banned,The mountain is very tall.,irrelevant,Off-topic
Should advertising to children be banned,My sister is a pilot.,irrelevant,Unrelated

Importance of tree planting,Tree planting helps fight climate change.,relevant,Addresses the topic
Importance of tree planting,Trees provide oxygen and clean air.,relevant,Relevant discussion
Importance of tree planting,Forests maintain ecological balance.,relevant,Relevant answer
Importance of tree planting,I like watching movies on weekends.,irrelevant,Wrong topic
Importance of tree planting,The lamp is very bright.,irrelevant,Off-topic
Importance of tree planting,My uncle is a teacher.,irrelevant,Unrelated

Effects of sugar consumption on health,Excessive sugar causes obesity and diabetes.,relevant,Addresses the topic
Effects of sugar consumption on health,Reducing sugar intake improves health.,relevant,Relevant discussion
Effects of sugar consumption on health,Sugar is addictive and harmful.,relevant,Relevant answer
Effects of sugar consumption on health,I enjoy playing the piano.,irrelevant,Wrong topic
Effects of sugar consumption on health,The glass is very clean.,irrelevant,Off-topic
Effects of sugar consumption on health,My brother is a lawyer.,irrelevant,Unrelated

Should minimum wage be increased,Raising minimum wage improves worker living conditions.,relevant,Addresses the topic
Should minimum wage be increased,Higher wages reduce poverty levels.,relevant,Relevant discussion
Should minimum wage be increased,Minimum wage increases cost inflation.,relevant,Relevant answer
Should minimum wage be increased,I like dancing in the evening.,irrelevant,Wrong topic
Should minimum wage be increased,The carpet is very soft.,irrelevant,Off-topic
Should minimum wage be increased,My aunt is a doctor.,irrelevant,Unrelated

Benefits of learning a musical instrument,Learning instruments improves concentration and memory.,relevant,Addresses the topic
Benefits of learning a musical instrument,Music lessons develop patience and creativity.,relevant,Relevant discussion
Benefits of learning a musical instrument,Playing music reduces stress and anxiety.,relevant,Relevant answer
Benefits of learning a musical instrument,I love reading fantasy books.,irrelevant,Wrong topic
Benefits of learning a musical instrument,The wall is painted red.,irrelevant,Off-topic
Benefits of learning a musical instrument,My cousin is a mechanic.,irrelevant,Unrelated

Should governments regulate social media,Regulation prevents misinformation and online harm.,relevant,Addresses the topic
Should governments regulate social media,Social media platforms need legal accountability.,relevant,Relevant discussion
Should governments regulate social media,Freedom of expression must be protected.,relevant,Relevant answer
Should governments regulate social media,I like eating burgers sometimes.,irrelevant,Wrong topic
Should governments regulate social media,The road is very long.,irrelevant,Off-topic
Should governments regulate social media,My sister is a nurse.,irrelevant,Unrelated

Importance of sleep for health,Adequate sleep improves physical health.,relevant,Addresses the topic
Importance of sleep for health,Sleep helps memory and concentration.,relevant,Relevant discussion
Importance of sleep for health,Lack of sleep causes health problems.,relevant,Relevant answer
Importance of sleep for health,I enjoy hiking in nature.,irrelevant,Wrong topic
Importance of sleep for health,The chair is very heavy.,irrelevant,Off-topic
Importance of sleep for health,My uncle is a businessman.,irrelevant,Unrelated

Advantages of shopping locally,Local shopping supports the community economy.,relevant,Addresses the topic
Advantages of shopping locally,Buying locally reduces transportation carbon.,relevant,Relevant discussion
Advantages of shopping locally,Local shops offer fresh products.,relevant,Relevant answer
Advantages of shopping locally,I like playing tennis outside.,irrelevant,Wrong topic
Advantages of shopping locally,The window is very wide.,irrelevant,Off-topic
Advantages of shopping locally,My brother is a pilot.,irrelevant,Unrelated

Should people adopt vegetarianism,Vegetarian diets are healthier and sustainable.,relevant,Addresses the topic
Should people adopt vegetarianism,Plant-based eating reduces animal cruelty.,relevant,Relevant discussion
Should people adopt vegetarianism,Vegetarianism lowers environmental impact.,relevant,Relevant answer
Should people adopt vegetarianism,I enjoy watching TV series.,irrelevant,Wrong topic
Should people adopt vegetarianism,The tree is very tall.,irrelevant,Off-topic
Should people adopt vegetarianism,My cousin is a teacher.,irrelevant,Unrelated

Impact of climate change on agriculture,Climate change reduces crop yields and food security.,relevant,Addresses the topic
Impact of climate change on agriculture,Farmers face challenges from unpredictable weather.,relevant,Relevant discussion
Impact of climate change on agriculture,Adaptation strategies are important for farming.,relevant,Relevant answer
Impact of climate change on agriculture,I like swimming in the pool.,irrelevant,Wrong topic
Impact of climate change on agriculture,The lamp is very dim.,irrelevant,Off-topic
Impact of climate change on agriculture,My aunt is a lawyer.,irrelevant,Unrelated

Benefits of laughter and humor,Laughter releases stress and improves mood.,relevant,Addresses the topic
Benefits of laughter and humor,Humor helps people connect with others.,relevant,Relevant discussion
Benefits of laughter and humor,Positive attitude leads to better health.,relevant,Relevant answer
Benefits of laughter and humor,I enjoy cooking various dishes.,irrelevant,Wrong topic
Benefits of laughter and humor,The floor is very dirty.,irrelevant,Off-topic
Benefits of laughter and humor,My sister is a doctor.,irrelevant,Unrelated

Should schools teach entrepreneurship,Entrepreneurship education creates business skills.,relevant,Addresses the topic
Should schools teach entrepreneurship,Students learn innovation and risk-taking.,relevant,Relevant discussion
Should schools teach entrepreneurship,Business education prepares for the future.,relevant,Relevant answer
Should schools teach entrepreneurship,I like reading adventure books.,irrelevant,Wrong topic
Should schools teach entrepreneurship,The glass is very shiny.,irrelevant,Off-topic
Should schools teach entrepreneurship,My uncle is a mechanic.,irrelevant,Unrelated

Effects of social isolation,Social isolation leads to mental health issues.,relevant,Addresses the topic
Effects of social isolation,Connection with others is vital for wellbeing.,relevant,Relevant discussion
Effects of social isolation,Loneliness affects people of all ages.,relevant,Relevant answer
Effects of social isolation,I love playing chess with friends.,irrelevant,Wrong topic
Effects of social isolation,The river is very wide.,irrelevant,Off-topic
Effects of social isolation,My brother is a businessman.,irrelevant,Unrelated

Importance of clean water access,Clean water is essential for human survival.,relevant,Addresses the topic
Importance of clean water access,Waterborne diseases affect millions globally.,relevant,Relevant discussion
Importance of clean water access,Governments must ensure water quality.,relevant,Relevant answer
Importance of clean water access,I like eating spicy food.,irrelevant,Wrong topic
Importance of clean water access,The door is very heavy.,irrelevant,Off-topic
Importance of clean water access,My cousin is a pilot.,irrelevant,Unrelated

Should countries reduce carbon emissions,Emission reduction prevents climate disaster.,relevant,Addresses the topic
Should countries reduce carbon emissions,International cooperation is essential for climate action.,relevant,Relevant discussion
Should countries reduce carbon emissions,Carbon taxes encourage sustainable practices.,relevant,Relevant answer
Should countries reduce carbon emissions,I enjoy playing basketball outside.,irrelevant,Wrong topic
Should countries reduce carbon emissions,The chair is very comfortable.,irrelevant,Off-topic
Should countries reduce carbon emissions,My aunt is a teacher.,irrelevant,Unrelated

Advantages of reading newspapers,Newspapers keep people informed about current events.,relevant,Addresses the topic
Advantages of reading newspapers,Reading news improves critical thinking skills.,relevant,Relevant discussion
Advantages of reading newspapers,Journalism provides accountability and transparency.,relevant,Relevant answer
Advantages of reading newspapers,I like playing video games often.,irrelevant,Wrong topic
Advantages of reading newspapers,The road is very smooth.,irrelevant,Off-topic
Advantages of reading newspapers,My sister is a lawyer.,irrelevant,Unrelated

Should governments subsidize public transport,Public transport subsidies reduce traffic congestion.,relevant,Addresses the topic
Should governments subsidize public transport,Subsidies make transport accessible for everyone.,relevant,Relevant discussion
Should governments subsidize public transport,Affordable transport benefits the environment.,relevant,Relevant answer
Should governments subsidize public transport,I enjoy traveling to new places.,irrelevant,Wrong topic
Should governments subsidize public transport,The mountain is very high.,irrelevant,Off-topic
Should governments subsidize public transport,My uncle is a doctor.,irrelevant,Unrelated

Should schools teach sex education,Teaching sex education reduces teenage pregnancy rates.,relevant,Addresses the topic
Should schools teach sex education,Proper sex education prevents sexual abuse.,relevant,Relevant discussion
Should schools teach sex education,Students need to learn about reproductive health.,relevant,Relevant answer
Should schools teach sex education,I like watching cartoons on TV.,irrelevant,Wrong topic
Should schools teach sex education,The table is very heavy.,irrelevant,Off-topic
Should schools teach sex education,My brother is a mechanic.,irrelevant,Unrelated

Impact of social media on youth,Social media influences youth behavior and attitudes.,relevant,Addresses the topic
Impact of social media on youth,Cyberbullying is a major concern for young people.,relevant,Relevant discussion
Impact of social media on youth,Young people spend excessive time online.,relevant,Relevant answer
Impact of social media on youth,I enjoy playing tennis on weekends.,irrelevant,Wrong topic
Impact of social media on youth,The window is very clean.,irrelevant,Off-topic
Impact of social media on youth,My cousin is a nurse.,irrelevant,Unrelated

Importance of preserving wildlife,Wildlife conservation maintains ecological balance.,relevant,Addresses the topic
Importance of preserving wildlife,Endangered species need protection from extinction.,relevant,Relevant discussion
Importance of preserving wildlife,Biodiversity is crucial for human survival.,relevant,Relevant answer
Importance of preserving wildlife,I like eating pasta with cheese.,irrelevant,Wrong topic
Importance of preserving wildlife,The carpet is very colorful.,irrelevant,Off-topic
Importance of preserving wildlife,My uncle is a businessman.,irrelevant,Unrelated

Should people reduce meat consumption,Eating less meat benefits the environment.,relevant,Addresses the topic
Should people reduce meat consumption,Meat production causes greenhouse gas emissions.,relevant,Relevant discussion
Should people reduce meat consumption,Plant-based diets are healthier and sustainable.,relevant,Relevant answer
Should people reduce meat consumption,I like playing chess with my brother.,irrelevant,Wrong topic
Should people reduce meat consumption,The lamp is very bright.,irrelevant,Off-topic
Should people reduce meat consumption,My sister is a teacher.,irrelevant,Unrelated

Benefits of practicing mindfulness,Mindfulness practice improves mental health.,relevant,Addresses the topic
Benefits of practicing mindfulness,Being present reduces stress and worry.,relevant,Relevant discussion
Benefits of practicing mindfulness,Meditation helps people focus better.,relevant,Relevant answer
Benefits of practicing mindfulness,I enjoy watching football matches.,irrelevant,Wrong topic
Benefits of practicing mindfulness,The river is very calm today.,irrelevant,Off-topic
Benefits of practicing mindfulness,My father is a pilot.,irrelevant,Unrelated

Should children have social media accounts,Children on social media face privacy risks.,relevant,Addresses the topic
Should children have social media accounts,Social media can affect children's mental health.,relevant,Relevant discussion
Should children have social media accounts,Parents should monitor children's online activity.,relevant,Relevant answer
Should children have social media accounts,I like listening to music at night.,irrelevant,Wrong topic
Should children have social media accounts,The door is very wide.,irrelevant,Off-topic
Should children have social media accounts,My aunt is a lawyer.,irrelevant,Unrelated

Advantages of lifelong learning,Continuous learning keeps the mind active.,relevant,Addresses the topic
Advantages of lifelong learning,Learning new skills boosts career prospects.,relevant,Relevant discussion
Advantages of lifelong learning,Education throughout life enhances personal growth.,relevant,Relevant answer
Advantages of lifelong learning,I enjoy cooking special meals.,irrelevant,Wrong topic
Advantages of lifelong learning,The floor is very shiny.,irrelevant,Off-topic
Advantages of lifelong learning,My brother is a doctor.,irrelevant,Unrelated

Should plastic packaging be banned,Plastic packaging causes severe environmental damage.,relevant,Addresses the topic
Should plastic packaging be banned,Biodegradable alternatives should replace plastic.,relevant,Relevant discussion
Should plastic packaging be banned,Banning plastic reduces ocean pollution.,relevant,Relevant answer
Should plastic packaging be banned,I like cycling in the morning.,irrelevant,Wrong topic
Should plastic packaging be banned,The glass is very clean.,irrelevant,Off-topic
Should plastic packaging be banned,My cousin is an engineer.,irrelevant,Unrelated

Impact of technology on employment,Automation replaces many manual jobs.,relevant,Addresses the topic
Impact of technology on employment,New technology creates different job opportunities.,relevant,Relevant discussion
Impact of technology on employment,Workers need retraining for digital jobs.,relevant,Relevant answer
Impact of technology on employment,I like reading romance novels.,irrelevant,Wrong topic
Impact of technology on employment,The tree is very old.,irrelevant,Off-topic
Impact of technology on employment,My uncle is a mechanic.,irrelevant,Unrelated

Importance of community service,Community service strengthens social bonds.,relevant,Addresses the topic
Importance of community service,Volunteering benefits both helpers and recipients.,relevant,Relevant discussion
Importance of community service,Serving others creates meaningful change.,relevant,Relevant answer
Importance of community service,I like playing guitar in free time.,irrelevant,Wrong topic
Importance of community service,The chair is very comfortable.,irrelevant,Off-topic
Importance of community service,My sister is a nurse.,irrelevant,Unrelated

Should governments fund space exploration,Space exploration drives technological innovation.,relevant,Addresses the topic
Should governments fund space exploration,Scientific discoveries benefit life on Earth.,relevant,Relevant discussion
Should governments fund space exploration,Space programs inspire future generations.,relevant,Relevant answer
Should governments fund space exploration,I enjoy hiking on weekends.,irrelevant,Wrong topic
Should governments fund space exploration,The wall is painted blue.,irrelevant,Off-topic
Should governments fund space exploration,My brother is a businessman.,irrelevant,Unrelated

Benefits of playing team sports,Team sports teach valuable life lessons.,relevant,Addresses the topic
Benefits of playing team sports,Working in a team builds cooperation skills.,relevant,Relevant discussion
Benefits of playing team sports,Sports promote physical and social health.,relevant,Relevant answer
Benefits of playing team sports,I like watching cooking shows.,irrelevant,Wrong topic
Benefits of playing team sports,The road is very bumpy.,irrelevant,Off-topic
Benefits of playing team sports,My cousin is a teacher.,irrelevant,Unrelated

Should homework be limited,Too much homework stresses students.,relevant,Addresses the topic
Should homework be limited,Homework reinforces classroom learning.,relevant,Relevant discussion
Should homework be limited,Balanced homework helps student development.,relevant,Relevant answer
Should homework be limited,I like playing basketball daily.,irrelevant,Wrong topic
Should homework be limited,The lamp is very dim.,irrelevant,Off-topic
Should homework be limited,My aunt is a doctor.,irrelevant,Unrelated

Effects of air travel on environment,Air travel contributes to carbon emissions.,relevant,Addresses the topic
Effects of air travel on environment,Aviation industry needs sustainable fuel.,relevant,Relevant discussion
Effects of air travel on environment,Flying less can reduce environmental impact.,relevant,Relevant answer
Effects of air travel on environment,I enjoy swimming in the ocean.,irrelevant,Wrong topic
Effects of air travel on environment,The carpet is very soft.,irrelevant,Off-topic
Effects of air travel on environment,My uncle is a pilot.,irrelevant,Unrelated

Importance of cultural exchange,Learning about other cultures builds tolerance.,relevant,Addresses the topic
Importance of cultural exchange,Cultural exchange promotes international understanding.,relevant,Relevant discussion
Importance of cultural exchange,Shared experiences unite people globally.,relevant,Relevant answer
Importance of cultural exchange,I like eating sushi sometimes.,irrelevant,Wrong topic
Importance of cultural exchange,The chair is very heavy.,irrelevant,Off-topic
Importance of cultural exchange,My brother is a lawyer.,irrelevant,Unrelated

Should cities plant more trees,Planting trees improves urban air quality.,relevant,Addresses the topic
Should cities plant more trees,Green spaces enhance city living conditions.,relevant,Relevant discussion
Should cities plant more trees,Trees reduce noise and heat in cities.,relevant,Relevant answer
Should cities plant more trees,I enjoy photography as a hobby.,irrelevant,Wrong topic
Should cities plant more trees,The door is very tall.,irrelevant,Off-topic
Should cities plant more trees,My sister is a teacher.,irrelevant,Unrelated

Advantages of learning to swim,Swimming is a lifesaving skill.,relevant,Addresses the topic
Advantages of learning to swim,Swimming improves fitness and strength.,relevant,Relevant discussion
Advantages of learning to swim,Water activities are enjoyable and healthy.,relevant,Relevant answer
Advantages of learning to swim,I like watching movies at home.,irrelevant,Wrong topic
Advantages of learning to swim,The window is very large.,irrelevant,Off-topic
Advantages of learning to swim,My cousin is a mechanic.,irrelevant,Unrelated

Should companies promote work-life balance,Work-life balance increases employee satisfaction.,relevant,Addresses the topic
Should companies promote work-life balance,Happy workers are more productive.,relevant,Relevant discussion
Should companies promote work-life balance,Flexible hours benefit both employer and employee.,relevant,Relevant answer
Should companies promote work-life balance,I like listening to podcasts.,irrelevant,Wrong topic
Should companies promote work-life balance,The table is very round.,irrelevant,Off-topic
Should companies promote work-life balance,My uncle is a businessman.,irrelevant,Unrelated

Impact of streaming services on cinema,Streaming reduces cinema attendance significantly.,relevant,Addresses the topic
Impact of streaming services on cinema,Convenience of streaming affects movie theaters.,relevant,Relevant discussion
Impact of streaming services on cinema,Both streaming and cinema have advantages.,relevant,Relevant answer
Impact of streaming services on cinema,I like drawing pictures in free time.,irrelevant,Wrong topic
Impact of streaming services on cinema,The mountain is very high.,irrelevant,Off-topic
Impact of streaming services on cinema,My brother is a doctor.,irrelevant,Unrelated

Importance of voting in elections,Voting ensures democratic representation.,relevant,Addresses the topic
Importance of voting in elections,Every vote counts and has power.,relevant,Relevant discussion
Importance of voting in elections,Citizens should exercise their voting rights.,relevant,Relevant answer
Importance of voting in elections,I enjoy baking cakes often.,irrelevant,Wrong topic
Importance of voting in elections,The river is very wide.,irrelevant,Off-topic
Importance of voting in elections,My aunt is a nurse.,irrelevant,Unrelated

Should prisoners be given education,Education helps prisoners reintegrate into society.,relevant,Addresses the topic
Should prisoners be given education,Learning reduces reoffending rates.,relevant,Relevant discussion
Should prisoners be given education,Skill training prepares prisoners for release.,relevant,Relevant answer
Should prisoners be given education,I like playing card games.,irrelevant,Wrong topic
Should prisoners be given education,The floor is very dirty.,irrelevant,Off-topic
Should prisoners be given education,My cousin is a pilot.,irrelevant,Unrelated

Advantages of using public transport,Public transport reduces traffic congestion.,relevant,Addresses the topic
Advantages of using public transport,Using buses and trains saves money.,relevant,Relevant discussion
Advantages of using public transport,Public transport is environmentally friendly.,relevant,Relevant answer
Advantages of using public transport,I enjoy painting landscapes.,irrelevant,Wrong topic
Advantages of using public transport,The glass is very shiny.,irrelevant,Off-topic
Advantages of using public transport,My sister is a lawyer.,irrelevant,Unrelated

Should junk food be banned in schools,Junk food in schools causes health issues.,relevant,Addresses the topic
Should junk food be banned in schools,Healthy food options should be promoted.,relevant,Relevant discussion
Should junk food be banned in schools,School meals should be nutritious.,relevant,Relevant answer
Should junk food be banned in schools,I like singing in my room.,irrelevant,Wrong topic
Should junk food be banned in schools,The door is very old.,irrelevant,Off-topic
Should junk food be banned in schools,My uncle is a teacher.,irrelevant,Unrelated

Benefits of volunteering,Volunteering brings joy and fulfillment.,relevant,Addresses the topic
Benefits of volunteering,Helping others builds stronger communities.,relevant,Relevant discussion
Benefits of volunteering,Volunteer work teaches empathy and kindness.,relevant,Relevant answer
Benefits of volunteering,I like watching cricket tournaments.,irrelevant,Wrong topic
Benefits of volunteering,The chair is very small.,irrelevant,Off-topic
Benefits of volunteering,My brother is a businessman.,irrelevant,Unrelated

Should schools extend school hours,Longer school hours provide more learning time.,relevant,Addresses the topic
Should schools extend school hours,Extended hours allow for more activities.,relevant,Relevant discussion
Should schools extend school hours,Longer days can stress students excessively.,relevant,Relevant answer
Should schools extend school hours,I like reading comic books.,irrelevant,Wrong topic
Should schools extend school hours,The lamp is very bright.,irrelevant,Off-topic
Should schools extend school hours,My cousin is a nurse.,irrelevant,Unrelated

Should governments control population growth,Controlling population growth reduces resource strain.,relevant,Addresses the topic
Should governments control population growth,Fewer people means less environmental pressure.,relevant,Relevant discussion
Should governments control population growth,Population policies should respect human rights.,relevant,Relevant answer
Should governments control population growth,I like watching comedy movies.,irrelevant,Wrong topic
Should governments control population growth,The carpet is very colorful.,irrelevant,Off-topic
Should governments control population growth,My sister is a mechanic.,irrelevant,Unrelated

Impact of online shopping on small businesses,Online shopping affects local store sales.,relevant,Addresses the topic
Impact of online shopping on small businesses,Small businesses struggle to compete online.,relevant,Relevant discussion
Impact of online shopping on small businesses,Physical stores must adapt to survive.,relevant,Relevant answer
Impact of online shopping on small businesses,I enjoy hiking in the forest.,irrelevant,Wrong topic
Impact of online shopping on small businesses,The table is very heavy.,irrelevant,Off-topic
Impact of online shopping on small businesses,My uncle is a doctor.,irrelevant,Unrelated

Importance of protecting oceans,Oceans provide food and regulate climate.,relevant,Addresses the topic
Importance of protecting oceans,Marine ecosystems are under threat.,relevant,Relevant discussion
Importance of protecting oceans,Reducing pollution saves ocean life.,relevant,Relevant answer
Importance of protecting oceans,I like playing piano in evenings.,irrelevant,Wrong topic
Importance of protecting oceans,The window is very clean.,irrelevant,Off-topic
Importance of protecting oceans,My brother is a lawyer.,irrelevant,Unrelated

Should people work fewer hours,Working fewer hours improves mental health.,relevant,Addresses the topic
Should people work fewer hours,Flexible schedules increase productivity.,relevant,Relevant discussion
Should people work fewer hours,Work-life balance is essential for wellbeing.,relevant,Relevant answer
Should people work fewer hours,I enjoy cooking pasta dishes.,irrelevant,Wrong topic
Should people work fewer hours,The floor is very shiny.,irrelevant,Off-topic
Should people work fewer hours,My cousin is a teacher.,irrelevant,Unrelated

Benefits of learning history,History teaches important lessons for the future.,relevant,Addresses the topic
Benefits of learning history,Understanding the past prevents mistakes.,relevant,Relevant discussion
Benefits of learning history,History shapes cultural identity and pride.,relevant,Relevant answer
Benefits of learning history,I like swimming in the pool.,irrelevant,Wrong topic
Benefits of learning history,The road is very long.,irrelevant,Off-topic
Benefits of learning history,My aunt is a nurse.,irrelevant,Unrelated

Should high schools teach practical skills,Practical skills prepare students for life.,relevant,Addresses the topic
Should high schools teach practical skills,Learning budgeting and cooking is useful.,relevant,Relevant discussion
Should high schools teach practical skills,Real-world skills are valuable for students.,relevant,Relevant answer
Should high schools teach practical skills,I like reading adventure books.,irrelevant,Wrong topic
Should high schools teach practical skills,The glass is very clean.,irrelevant,Off-topic
Should high schools teach practical skills,My father is a businessman.,irrelevant,Unrelated

Advantages of traveling alone,Traveling alone builds confidence and independence.,relevant,Addresses the topic
Advantages of traveling alone,Solo travel allows complete freedom.,relevant,Relevant discussion
Advantages of traveling alone,Meeting new people is easier alone.,relevant,Relevant answer
Advantages of traveling alone,I like eating chocolate often.,irrelevant,Wrong topic
Advantages of traveling alone,The lamp is very dim.,irrelevant,Off-topic
Advantages of traveling alone,My brother is a pilot.,irrelevant,Unrelated

Should governments fund arts programs,Government funding supports artists and culture.,relevant,Addresses the topic
Should governments fund arts programs,Arts education benefits children and communities.,relevant,Relevant discussion
Should governments fund arts programs,Cultural expression should be funded publicly.,relevant,Relevant answer
Should governments fund arts programs,I enjoy playing football outside.,irrelevant,Wrong topic
Should governments fund arts programs,The chair is very comfortable.,irrelevant,Off-topic
Should governments fund arts programs,My sister is a doctor.,irrelevant,Unrelated

Impact of poverty on education,Poverty creates barriers to education access.,relevant,Addresses the topic
Impact of poverty on education,Poor students face limited opportunities.,relevant,Relevant discussion
Impact of poverty on education,Scholarships help overcome financial obstacles.,relevant,Relevant answer
Impact of poverty on education,I like traveling to new countries.,irrelevant,Wrong topic
Impact of poverty on education,The wall is painted white.,irrelevant,Off-topic
Impact of poverty on education,My uncle is a mechanic.,irrelevant,Unrelated

Importance of fatherhood in child development,Fathers play a crucial role in child development.,relevant,Addresses the topic
Importance of fatherhood in child development,Children benefit from paternal guidance.,relevant,Relevant discussion
Importance of fatherhood in child development,Fathers teach important life skills.,relevant,Relevant answer
Importance of fatherhood in child development,I like watching Netflix shows.,irrelevant,Wrong topic
Importance of fatherhood in child development,The tree is very tall.,irrelevant,Off-topic
Importance of fatherhood in child development,My cousin is a lawyer.,irrelevant,Unrelated

Should governments legalize marijuana,Legalizing marijuana creates tax revenue.,relevant,Addresses the topic
Should governments legalize marijuana,Regulation controls drug quality and safety.,relevant,Relevant discussion
Should governments legalize marijuana,Legalization may increase drug use.,relevant,Relevant answer
Should governments legalize marijuana,I enjoy cycling on weekends.,irrelevant,Wrong topic
Should governments legalize marijuana,The river is very deep.,irrelevant,Off-topic
Should governments legalize marijuana,My aunt is a teacher.,irrelevant,Unrelated

Benefits of eating organic food,Organic food is healthier and chemical-free.,relevant,Addresses the topic
Benefits of eating organic food,Organic farming supports environmental sustainability.,relevant,Relevant discussion
Benefits of eating organic food,Organic produce has better nutritional value.,relevant,Relevant answer
Benefits of eating organic food,I like playing chess with friends.,irrelevant,Wrong topic
Benefits of eating organic food,The door is very wide.,irrelevant,Off-topic
Benefits of eating organic food,My brother is a businessman.,irrelevant,Unrelated

Should companies hire more remote workers,Remote work saves office space costs.,relevant,Addresses the topic
Should companies hire more remote workers,Remote workers have better work-life balance.,relevant,Relevant discussion
Should companies hire more remote workers,Technology makes remote work possible.,relevant,Relevant answer
Should companies hire more remote workers,I like baking bread at home.,irrelevant,Wrong topic
Should companies hire more remote workers,The carpet is very clean.,irrelevant,Off-topic
Should companies hire more remote workers,My uncle is a lawyer.,irrelevant,Unrelated

Effects of bullying on mental health,Bullying causes depression and anxiety.,relevant,Addresses the topic
Effects of bullying on mental health,Victims of bullying need support.,relevant,Relevant discussion
Effects of bullying on mental health,Anti-bullying programs are essential in schools.,relevant,Relevant answer
Effects of bullying on mental health,I enjoy singing in the shower.,irrelevant,Wrong topic
Effects of bullying on mental health,The table is very round.,irrelevant,Off-topic
Effects of bullying on mental health,My sister is a nurse.,irrelevant,Unrelated

Importance of personal hygiene,Good hygiene prevents diseases and infections.,relevant,Addresses the topic
Importance of personal hygiene,Cleanliness promotes social confidence.,relevant,Relevant discussion
Importance of personal hygiene,Hygiene habits develop during childhood.,relevant,Relevant answer
Importance of personal hygiene,I like watching documentary films.,irrelevant,Wrong topic
Importance of personal hygiene,The window is very large.,irrelevant,Off-topic
Importance of personal hygiene,My cousin is a mechanic.,irrelevant,Unrelated

Should schools provide free meals,Free school meals reduce hunger and poverty.,relevant,Addresses the topic
Should schools provide free meals,Government food programs help poor families.,relevant,Relevant discussion
Should schools provide free meals,Nutritious meals improve student performance.,relevant,Relevant answer
Should schools provide free meals,I like drawing in my notebook.,irrelevant,Wrong topic
Should schools provide free meals,The glass is very shiny.,irrelevant,Off-topic
Should schools provide free meals,My father is a doctor.,irrelevant,Unrelated

Advantages of regular health checkups,Regular checkups detect health problems early.,relevant,Addresses the topic
Advantages of regular health checkups,Preventive medicine saves lives and money.,relevant,Relevant discussion
Advantages of regular health checkups,Doctors can monitor ongoing health conditions.,relevant,Relevant answer
Advantages of regular health checkups,I like cooking with friends.,irrelevant,Wrong topic
Advantages of regular health checkups,The chair is very heavy.,irrelevant,Off-topic
Advantages of regular health checkups,My brother is a teacher.,irrelevant,Unrelated

Should animals have legal rights,Animals deserve protection from cruelty.,relevant,Addresses the topic
Should animals have legal rights,Legal rights for animals prevent abuse.,relevant,Relevant discussion
Should animals have legal rights,Animal welfare laws need strengthening.,relevant,Relevant answer
