text,label,reason
zxcvbnmlkjhgfdsa,random,Keyboard reverse
qwertyuiopasdfghjk,random,Keyboard pattern
hgfdsapoiuytrewq,random,Keyboard gibberish
!@#$%^&*()qwertyuiop,random,Symbols and keyboard
0987654321lkjhgfdsa,random,Numbers and letters
qazwsxedcrfvtgbyhnuj,random,Keyboard diagonal
plmoknijbuhvgycftx,random,Random keyboard
1a2s3d4f5g6h7j8k,random,Letter-number pattern
111qqq222www333eee,random,Repeated pattern
asdfghjklzxcvbnmpoi,random,Keyboard mixed
q1w2e3r4t5y6u7i8,random,Alternating pattern
z2x3c4v5b6n7m8,random,Random mixed text
abc123def456ghi789,random,Random mixed sequence
111xxx222vvv333bbb,random,Letter-number pattern
a1s2d3f4g5h6j7k,random,Keyboard alternating
l8k7j6h5g4f3d2s1,random,Reverse alternating
q1w2e3r4t5y6u,random,Random alternating
mnbvcxzlkjhgfdsa,random,Keyboard mixed
pppppppppppppppppppp,random,Repeated letter
qqqqqqqqqqqqqqqqqqqq,random,Repeated letter
rrrrrrrrrrrrrrrrrrrr,random,Repeated letter
ssssssssssssssssssss,random,Repeated letter
00000000000000000000,random,Repeated number
11111111111111111111,random,Repeated number
22222222222222222222,random,Repeated number
33333333333333333333,random,Repeated number
!!!!!!!!!!!!!!!!!!!!,random,Symbol pattern
@@@@@@@@@@@@@@@@@@@@,random,Symbol pattern
##########$$$$$$$$$$,random,Symbol pattern
%%%%%%%%%%^^^^^^^^^^,random,Symbol pattern
&&&***((()))___+++,random,Random symbol pattern
::;::;::;::;::;::;,random,Punctuation pattern
"'""/./'""/./'""/./'""/",random,Punctuation pattern
12qwer34tyui56op,random,Numbers and keyboard
qwerty123456,random,Keyboard and numbers
asdfghjkl123456,random,Keyboard and numbers
zxcvbnm1234567890,random,Keyboard and numbers
poiuytrewq0987654321,random,Keyboard and numbers

Global trade connects economies and cultures worldwide.,normal,Meaningful economic text
Vaccination programs prevent disease outbreaks effectively.,normal,Valid health statement
Cultural festivals celebrate traditions and community spirit.,normal,Meaningful social text
Hydroelectric power provides clean and renewable energy.,normal,Valid environmental text
Time management improves academic and professional performance.,normal,Meaningful educational text
Zero-waste lifestyles reduce environmental footprints significantly.,normal,Valid environmental statement
Peer tutoring helps students understand complex subjects.,normal,Meaningful educational text
Outdoor recreation promotes physical and mental well-being.,normal,Valid health statement
Corporate social responsibility builds brand trust and loyalty.,normal,Meaningful business text
Eco-friendly packaging reduces plastic pollution in oceans.,normal,Valid environmental text
Foreign direct investment stimulates economic growth in developing nations.,normal,Meaningful economic text
Effective communication prevents misunderstandings in relationships.,normal,Valid social text
Green roofs reduce building energy costs and urban heat.,normal,Meaningful environmental text
Midwifery provides essential care during childbirth.,normal,Valid medical statement
Smart grids optimize electricity distribution and reduce waste.,normal,Meaningful technology text
School meals ensure children receive proper nutrition daily.,normal,Valid social text
Wind turbines generate clean electricity in windy regions.,normal,Meaningful environmental text
Study abroad experiences broaden students' worldviews.,normal,Valid educational text
Animal sanctuaries rescue and rehabilitate endangered species.,normal,Meaningful environmental text
Healthy competition encourages businesses to innovate and improve.,normal,Valid business text
Adequate housing is a fundamental human right for all.,normal,Meaningful social text
Genetic research helps identify treatment for rare diseases.,normal,Valid medical text
Digital nomads work remotely from different locations worldwide.,normal,Meaningful business text
Flood management systems protect communities from natural disasters.,normal,Valid environmental text
Early retirement planning ensures financial security later in life.,normal,Meaningful financial text
Science museums inspire curiosity in young learners.,normal,Valid educational text
Urban trees absorb carbon dioxide and produce oxygen.,normal,Meaningful environmental text
Entrepreneurial skills create economic independence and confidence.,normal,Valid business text
Palliative care improves quality of life for terminally ill patients.,normal,Meaningful medical text
Recycling electronic waste recovers valuable raw materials.,normal,Valid environmental text
Teaching assistants support classroom learning and teacher workload.,normal,Meaningful educational text
Low-carbon technologies reduce greenhouse gas emissions effectively.,normal,Valid environmental statement
Conflict mediation prevents violence and promotes peace.,normal,Meaningful social text
Acupuncture provides alternative treatment for chronic pain.,normal,Valid medical text
Global supply chains face disruptions from geopolitical tensions.,normal,Meaningful economic text
Prescribed exercise programs aid in disease rehabilitation.,normal,Valid health statement
Composting organic waste creates nutrient-rich fertilizer for gardens.,normal,Meaningful environmental text
Ethical investing considers social and environmental impacts.,normal,Valid business text
Online communities provide support for people with shared interests.,normal,Meaningful social text
Biometric security protects personal devices from unauthorized access.,normal,Valid technology text
Glacier melt contributes to rising sea levels worldwide.,normal,Meaningful environmental text
Speechwriting requires clarity and persuasive language skills.,normal,Valid professional text
Emergency hotlines provide immediate crisis support for individuals.,normal,Meaningful social text
Aquaculture offers sustainable seafood farming alternatives.,normal,Valid environmental text
Spousal support helps families maintain stability during transitions.,normal,Meaningful social text
Digital archives preserve historical documents for future generations.,normal,Valid technology text
Natural fiber production supports eco-friendly textile industries.,normal,Meaningful environmental text
Office ergonomics prevent workplace injuries and improve productivity.,normal,Valid professional text
Diplomatic negotiations facilitate international cooperation and problem-solving.,normal,Meaningful political text
Fertilizer management protects water quality from agricultural runoff.,normal,Valid environmental text

jsdkhfkjsdhfkjsdhf,random,Gibberish text
xncmbvasdjfhgwerq,random,Random keyboard text
qwertyuiopmnbvcxza,random,Meaningless characters
asdfghjklhgfdsaqw,random,Keyboard layout pattern
zxcvbnmpoiuytrewq,random,Random letter sequence
lkjhgfdsamnbvcxz,random,Random gibberish
poiuytrewqasdfghj,random,Unreadable text
mnbvcxzlkjhgfdsa,random,Random character combination
qwertyuioplkjhgfd,random,Keyboard pattern
asdfghjklzxcvbnm,random,Keyboard sequence
hgfdsaqwertyuiop,random,Keyboard mixed
zxcvbnmkljhgfdsa,random,Keyboard layout
poiuytrewqlkjhgfds,random,Keyboard reverse
mnbvcxzasdfghjkl,random,Keyboard pattern
hgfdsapoiuytrewq,random,Keyboard gibberish
@#$%^&*()_+qwerty,random,Symbols and keyboard
1234567890asdfghjkl,random,Numbers and letters
qazxswedcvfrtgbnhy,random,Keyboard diagonal
plokmijnuhbygvftc,random,Random keyboard
1q2w3e4r5t6y7u8i9o,random,Letter-number pattern
111aaa222bbb333ccc,random,Repeated pattern
qwertyuiopasdfghjkl,random,Keyboard mixed
z1x2c3v4b5n6m7,random,Alternating pattern
q2w3e4r5t6y7u8i,random,Random mixed text
abc456def789ghi123jkl,random,Random mixed sequence
111xxx222vvv333ccc,random,Letter-number pattern
a1s2d3f4g5h6j7k,random,Keyboard alternating
l8k7j6h5g4f3d2s,random,Reverse alternating
q1w2e3r4t5y6,random,Random alternating
mnbvcxzpoiuytrewq,random,Keyboard mixed
mmmmmmmmmmmmmmmmmmmm,random,Repeated letter
nnnnnnnnnnnnnnnnnnnn,random,Repeated letter
oooooooooooooooooooo,random,Repeated letter
pppppppppppppppppppp,random,Repeated letter
55555555555555555555,random,Repeated number
66666666666666666666,random,Repeated number
77777777777777777777,random,Repeated number
88888888888888888888,random,Repeated number
????????????????????,random,Symbol pattern
}}}}}}}}}}}}}}}}}}}},random,Symbol pattern
{{{{{{{{{{{{{{{{{{{{,random,Symbol pattern
>>>>>>>>>>>>>>>>>>>>,random,Symbol pattern
<<<<<<<<<<<<<<<<<<<<,random,Symbol pattern
:;.:;.:;.:;.:;.:;.,random,Punctuation pattern
"'.,'.,'.,'.,'.,'.,",random,Punctuation pattern
123qweasdzxc456,random,Numbers and keyboard
qwerty1234567890,random,Keyboard and numbers
asdfghjkl0987654321,random,Keyboard and numbers
zxcvbnm1234567890,random,Keyboard and numbers
poiuytrewq0987654321,random,Keyboard and numbers
