question,response,label,reason
Describe a festival from another country.,I love Christmas for its festive decorations and gifts.,relevant,Good foreign festival
Describe a festival from another country.,Diwali is a beautiful festival of lights from India.,relevant,Relevant foreign festival
Describe a festival from another country.,Thanksgiving is about family gatherings and food.,relevant,Correct foreign festival
Describe a festival from another country.,My car is very old.,irrelevant,Vehicle description unrelated
Describe a festival from another country.,The garden needs watering.,irrelevant,Garden task unrelated
Describe a festival from another country.,I have a meeting at work.,irrelevant,Work schedule unrelated

What is your favorite drink?,I love drinking tea because it relaxes me.,relevant,Good drink preference
What is your favorite drink?,Coffee is my favorite for its rich flavor.,relevant,Relevant drink preference
What is your favorite drink?,I enjoy fresh fruit juice every morning.,relevant,Correct drink preference
What is your favorite drink?,My sister is a teacher.,irrelevant,Family occupation unrelated
What is your favorite drink?,The window is open.,irrelevant,Room description unrelated
What is your favorite drink?,I visited my grandmother yesterday.,irrelevant,Social visit unrelated

What is your favorite time of day?,I love mornings because everything feels fresh and new.,relevant,Good time preference
What is your favorite time of day?,Evenings are my favorite for relaxation after work.,relevant,Relevant time preference
What is your favorite time of day?,I enjoy nights because it is peaceful and quiet.,relevant,Correct time preference
What is your favorite time of day?,My cousin is a lawyer.,irrelevant,Family occupation unrelated
What is your favorite time of day?,The door is locked.,irrelevant,Object description unrelated
What is your favorite time of day?,I eat bread every morning.,irrelevant,Food habit unrelated

Describe a skill you have learned.,I have learned to cook traditional dishes from my mother.,relevant,Good skill description
Describe a skill you have learned.,I learned to play the guitar during lockdown.,relevant,Relevant skill learned
Describe a skill you have learned.,I have learned basic coding and web development.,relevant,Correct skill description
Describe a skill you have learned.,My neighbor has a cat.,irrelevant,Neighbor description unrelated
Describe a skill you have learned.,The road is very bumpy.,irrelevant,Road description unrelated
Describe a skill you have learned.,I drink milk every night.,irrelevant,Beverage habit unrelated

What do you like about your neighborhood?,I love the peaceful environment and friendly neighbors.,relevant,Good neighborhood feature
What do you like about your neighborhood?,The parks and playgrounds are well maintained.,relevant,Relevant neighborhood quality
What do you like about your neighborhood?,There are many small shops within walking distance.,relevant,Correct neighborhood feature
What do you like about your neighborhood?,My brother likes to swim.,irrelevant,Sibling hobby unrelated
What do you like about your neighborhood?,The pen is blue.,irrelevant,Object description unrelated
What do you like about your neighborhood?,I go to bed at 10 PM.,irrelevant,Sleep habit unrelated

Describe a movie you watched recently.,I watched a comedy film and laughed throughout.,relevant,Good movie description
Describe a movie you watched recently.,I saw an action movie with great visual effects.,relevant,Relevant movie experience
Describe a movie you watched recently.,I watched a documentary about wildlife in Nepal.,relevant,Correct movie description
Describe a movie you watched recently.,My aunt is a doctor.,irrelevant,Family occupation unrelated
Describe a movie you watched recently.,The tree is very tall.,irrelevant,Nature description unrelated
Describe a movie you watched recently.,I bought a new phone.,irrelevant,Purchase unrelated

What is your favorite type of cuisine?,I love Italian food especially pizza and pasta.,relevant,Good cuisine preference
What is your favorite type of cuisine?,I enjoy Chinese food for its bold flavors.,relevant,Relevant cuisine preference
What is your favorite type of cuisine?,Nepali cuisine is my favorite with its rich spices.,relevant,Correct cuisine preference
What is your favorite type of cuisine?,My father is a pilot.,irrelevant,Family occupation unrelated
What is your favorite type of cuisine?,The floor is very clean.,irrelevant,Room description unrelated
What is your favorite type of cuisine?,I walk to the park daily.,irrelevant,Daily activity unrelated

Describe a teacher who influenced you.,My English teacher inspired me to love literature.,relevant,Good teacher influence
Describe a teacher who influenced you.,My math teacher made learning fun and interesting.,relevant,Relevant teacher description
Describe a teacher who influenced you.,My science teacher encouraged me to ask questions.,relevant,Correct teacher influence
Describe a teacher who influenced you?,My sister has a new job.,irrelevant,Sibling news unrelated
Describe a teacher who influenced you?,The water is very cold.,irrelevant,Nature description unrelated
Describe a teacher who influenced you?,I like to wear black shoes.,irrelevant,Clothing preference unrelated

What do you like about your job?,I love the creative freedom my job gives me.,relevant,Good job feature
What do you like about your job?,I enjoy working with a supportive team.,relevant,Relevant job quality
What do you like about your job?,My job allows me to help people every day.,relevant,Correct job feature
What do you like about your job?,My friend has a red car.,irrelevant,Friend possession unrelated
What do you like about your job?,The soup is delicious.,irrelevant,Food comment unrelated
What do you like about your job?,I take a shower every morning.,irrelevant,Hygiene habit unrelated

Describe a piece of art you like.,I love the Mona Lisa for its mysterious smile.,relevant,Good art description
Describe a piece of art you like.,I like local paintings that show village life.,relevant,Relevant art preference
Describe a piece of art you like.,I enjoy abstract art because of its colors.,relevant,Correct art description
Describe a piece of art you like.,My brother is a mechanic.,irrelevant,Family occupation unrelated
Describe a piece of art you like.,The floor is wooden.,irrelevant,Room description unrelated
Describe a piece of art you like.,I eat dinner at 8 PM.,irrelevant,Meal habit unrelated

What is your favorite kind of weather?,I love sunny weather for outdoor activities.,relevant,Good weather preference
What is your favorite kind of weather?,I enjoy cool breezy days in autumn.,relevant,Relevant weather preference
What is your favorite kind of weather?,I like mild weather with clear skies.,relevant,Correct weather preference
What is your favorite kind of weather?,My cousin is a doctor.,irrelevant,Family occupation unrelated
What is your favorite kind of weather?,The chair is very heavy.,irrelevant,Object description unrelated
What is your favorite kind of weather?,I watch TV every night.,irrelevant,Entertainment habit unrelated

Describe a memorable meal you had.,I had a delicious meal at my grandmother's house.,relevant,Good meal description
Describe a memorable meal you had.,I enjoyed a traditional feast during a festival.,relevant,Relevant meal experience
Describe a memorable meal you had.,I had the best pizza on my birthday.,relevant,Correct meal description
Describe a memorable meal you had.,My uncle is a businessman.,irrelevant,Family occupation unrelated
Describe a memorable meal you had.,The bus is late again.,irrelevant,Transport complaint unrelated
Describe a memorable meal you had.,I brush my teeth daily.,irrelevant,Hygiene habit unrelated

What do you like about your school?,I love the friendly teachers and staff.,relevant,Good school feature
What do you like about your school?,The library has many interesting books.,relevant,Relevant school quality
What do you like about your school?,I enjoy the sports facilities and playground.,relevant,Correct school feature
What do you like about your school?,My mother is a nurse.,irrelevant,Family occupation unrelated
What do you like about your school?,The window is broken.,irrelevant,Room description unrelated
What do you like about your school?,I drink coffee after lunch.,irrelevant,Beverage habit unrelated

Describe a dream you remember.,I dreamt of flying over mountains and rivers.,relevant,Good dream description
Describe a dream you remember.,I had a dream about meeting a famous actor.,relevant,Relevant dream experience
Describe a dream you remember.,I dreamt of traveling to different countries.,relevant,Correct dream description
Describe a dream you remember?,My brother has a new bicycle.,irrelevant,Sibling possession unrelated
Describe a dream you remember?,The path is very steep.,irrelevant,Road description unrelated
Describe a dream you remember?,I like to eat pancakes.,irrelevant,Food preference unrelated

What is your favorite way to travel?,I love traveling by train to enjoy the scenery.,relevant,Good travel preference
What is your favorite way to travel?,I prefer flying because it saves time.,relevant,Relevant travel mode
What is your favorite way to travel?,I enjoy road trips with my family.,relevant,Correct travel preference
What is your favorite way to travel?,My sister is a dentist.,irrelevant,Family occupation unrelated
What is your favorite way to travel?,The plate is very clean.,irrelevant,Object description unrelated
What is your favorite way to travel?,I wake up at 6 AM daily.,irrelevant,Daily routine unrelated

Describe a habit you want to change.,I want to stop using my phone before sleeping.,relevant,Good habit to change
Describe a habit you want to change.,I want to eat less junk food and be healthier.,relevant,Relevant habit change
Describe a habit you want to change.,I want to wake up earlier every morning.,relevant,Correct habit description
Describe a habit you want to change.,My aunt is a teacher.,irrelevant,Family occupation unrelated
Describe a habit you want to change.,The river is very deep.,irrelevant,Nature description unrelated
Describe a habit you want to change.,I bought new glasses today.,irrelevant,Shopping activity unrelated

What do you like about your free time?,I love having time to read books quietly.,relevant,Good free time aspect
What do you like about your free time?,I enjoy spending time with my family.,relevant,Relevant free time quality
What do you like about your free time?,I like to pursue my hobbies and interests.,relevant,Correct free time aspect
What do you like about your free time?,My cousin is a pilot.,irrelevant,Family occupation unrelated
What do you like about your free time?,The door is open.,irrelevant,Room description unrelated
What do you like about your free time?,I drink green tea every day.,irrelevant,Beverage habit unrelated

Describe a musical instrument you like.,I love the piano because it sounds so elegant.,relevant,Good instrument description
Describe a musical instrument you like.,I like the guitar for its versatility.,relevant,Relevant instrument preference
Describe a musical instrument you like.,The flute has a very soothing sound.,relevant,Correct instrument description
Describe a musical instrument you like.,My father is a lawyer.,irrelevant,Family occupation unrelated
Describe a musical instrument you like.,The mountain is covered in snow.,irrelevant,Nature description unrelated
Describe a musical instrument you like.,I take a shower every evening.,irrelevant,Hygiene habit unrelated

What is your favorite way to exercise?,I love running in the park every morning.,relevant,Good exercise preference
What is your favorite way to exercise?,I enjoy yoga for flexibility and relaxation.,relevant,Relevant exercise type
What is your favorite way to exercise?,I like swimming for full body workout.,relevant,Correct exercise preference
What is your favorite way to exercise?,My sister is a nurse.,irrelevant,Family occupation unrelated
What is your favorite way to exercise?,The table is round.,irrelevant,Object description unrelated
What is your favorite way to exercise?,I eat breakfast at 7 AM.,irrelevant,Meal habit unrelated

Describe a shop you like to visit.,I love visiting the local bakery for fresh bread.,relevant,Good shop description
Describe a shop you like to visit.,I enjoy going to the bookshop to browse novels.,relevant,Relevant shop preference
Describe a shop you like to visit.,I like visiting the vegetable market for fresh produce.,relevant,Correct shop description
Describe a shop you like to visit.,My uncle is a farmer.,irrelevant,Family occupation unrelated
Describe a shop you like to visit.,The road is very long.,irrelevant,Road description unrelated
Describe a shop you like to visit.,I sleep for 8 hours daily.,irrelevant,Sleep habit unrelated

What do you like about winter season?,I love the cool weather and cozy clothes.,relevant,Good winter feature
What do you like about winter season?,I enjoy drinking hot chocolate in winter.,relevant,Relevant winter activity
What do you like about winter season?,I like the festive atmosphere during winter.,relevant,Correct winter feature
What do you like about winter season?,My brother is a doctor.,irrelevant,Family occupation unrelated
What do you like about winter season?,The bottle is empty.,irrelevant,Object description unrelated
What do you like about winter season?,I walk to school every day.,irrelevant,Transport habit unrelated

Describe a book that changed your thinking.,The Alchemist taught me to follow my dreams.,relevant,Good book impact
Describe a book that changed your thinking.,Animal Farm changed my view on politics.,relevant,Relevant book influence
Describe a book that changed your thinking.,The Seven Habits helped me become more productive.,relevant,Correct book description
Describe a book that changed your thinking.,My neighbor is a singer.,irrelevant,Neighbor occupation unrelated
Describe a book that changed your thinking.,The park is very crowded.,irrelevant,Park description unrelated
Describe a book that changed your thinking.,I drink orange juice daily.,irrelevant,Beverage habit unrelated

What is your favorite type of art?,I love paintings especially nature scenes.,relevant,Good art preference
What is your favorite type of art?,I enjoy photography for capturing moments.,relevant,Relevant art type
What is your favorite type of art?,I like sculptures for their three-dimensional beauty.,relevant,Correct art preference
What is your favorite type of art?,My cousin is an engineer.,irrelevant,Family occupation unrelated
What is your favorite type of art?,The glass is very clean.,irrelevant,Object description unrelated
What is your favorite type of art?,I take a bus to work.,irrelevant,Transport habit unrelated

Describe a celebration you enjoy.,I love celebrating Dashain with my family.,relevant,Good celebration description
Describe a celebration you enjoy.,I enjoy birthday parties with friends and cake.,relevant,Relevant celebration type
Describe a celebration you enjoy.,I love new year celebrations with fireworks.,relevant,Correct celebration description
Describe a celebration you enjoy.,My sister is a teacher.,irrelevant,Family occupation unrelated
Describe a celebration you enjoy.,The road is very busy.,irrelevant,Road description unrelated
Describe a celebration you enjoy.,I eat lunch at 1 PM.,irrelevant,Meal habit unrelated

What do you like about summer season?,I love the long sunny days in summer.,relevant,Good summer feature
What do you like about summer season?,I enjoy swimming and ice cream in summer.,relevant,Relevant summer activity
What do you like about summer season?,I like the vibrant energy of summer.,relevant,Correct summer feature
What do you like about summer season?,My brother is a pilot.,irrelevant,Family occupation unrelated
What do you like about summer season?,The wall is painted white.,irrelevant,Room description unrelated
What do you like about summer season?,I read books every night.,irrelevant,Reading habit unrelated

Describe a hobby you do with your family.,We love cooking together on weekends.,relevant,Good family hobby
Describe a hobby you do with your family.,We enjoy playing board games as a family.,relevant,Relevant family activity
Describe a hobby you do with your family.,We go for walks together every evening.,relevant,Correct family hobby
Describe a hobby you do with your family.,My uncle is a businessman.,irrelevant,Family occupation unrelated
Describe a hobby you do with your family.,The flower is very beautiful.,irrelevant,Object description unrelated
Describe a hobby you do with your family.,I drink milk before sleeping.,irrelevant,Beverage habit unrelated

What is your favorite type of fruit?,I love mangoes for their sweet and juicy taste.,relevant,Good fruit preference
What is your favorite type of fruit?,I enjoy apples because they are healthy.,relevant,Relevant fruit preference
What is your favorite type of fruit?,Bananas are my favorite for energy.,relevant,Correct fruit preference
What is your favorite type of fruit?,My cousin is a dentist.,irrelevant,Family occupation unrelated
What is your favorite type of fruit?,The kitchen is very clean.,irrelevant,Room description unrelated
What is your favorite type of fruit?,I take a nap after lunch.,irrelevant,Habit unrelated

What is your favorite flower?,I love roses for their beauty and fragrance.,relevant,Good flower preference
What is your favorite flower?,Lotus is my favorite because it symbolizes purity.,relevant,Relevant flower preference
What is your favorite flower?,I like sunflowers because they are bright and cheerful.,relevant,Correct flower preference
What is your favorite flower?,My brother is a teacher.,irrelevant,Family occupation unrelated
What is your favorite flower?,The door is very heavy.,irrelevant,Object description unrelated
What is your favorite flower?,I drink tea every afternoon.,irrelevant,Beverage habit unrelated

Describe a place where you feel happy.,I feel happy at my home with my family.,relevant,Good happy place
Describe a place where you feel happy.,I feel happy in the mountains surrounded by nature.,relevant,Relevant happy place
Describe a place where you feel happy.,The park makes me happy with its green trees.,relevant,Correct happy place
Describe a place where you feel happy.,My sister is a nurse.,irrelevant,Family occupation unrelated
Describe a place where you feel happy.,The window is open.,irrelevant,Room description unrelated
Describe a place where you feel happy.,I walk to the shop daily.,irrelevant,Daily routine unrelated

What do you like about spring season?,I love the blooming flowers and pleasant weather.,relevant,Good spring feature
What do you like about spring season?,I enjoy the fresh greenery and new life.,relevant,Relevant spring quality
What do you like about spring season?,I like the mild temperatures and blue skies.,relevant,Correct spring feature
What do you like about spring season?,My cousin is a pilot.,irrelevant,Family occupation unrelated
What do you like about spring season?,The chair is broken.,irrelevant,Object description unrelated
What do you like about spring season?,I eat dinner at 7 PM.,irrelevant,Meal habit unrelated

Describe a toy from your childhood.,I loved playing with my stuffed teddy bear.,relevant,Good childhood toy
Describe a toy from your childhood.,I had a remote control car I played with daily.,relevant,Relevant childhood memory
Describe a toy from your childhood.,My favorite toy was a colorful spinning top.,relevant,Correct childhood toy
Describe a toy from your childhood.,My uncle is a farmer.,irrelevant,Family occupation unrelated
Describe a toy from your childhood.,The river is very deep.,irrelevant,Nature description unrelated
Describe a toy from your childhood.,I wake up at 5 AM daily.,irrelevant,Daily routine unrelated

What is your favorite type of bread?,I love whole wheat bread for its health benefits.,relevant,Good bread preference
What is your favorite type of bread?,I enjoy naan bread with curry dishes.,relevant,Relevant bread preference
What is your favorite type of bread?,I like white bread for sandwiches.,relevant,Correct bread preference
What is your favorite type of bread?,My father is a mechanic.,irrelevant,Family occupation unrelated
What is your favorite type of bread?,The floor is very dirty.,irrelevant,Room description unrelated
What is your favorite type of bread?,I read books every weekend.,irrelevant,Reading habit unrelated

Describe a dream job you would like.,I would love to become a travel photographer.,relevant,Good dream job
Describe a dream job you would like.,I want to be a pilot and fly around the world.,relevant,Relevant career goal
Describe a dream job you would like.,I dream of becoming a chef in a famous restaurant.,relevant,Correct dream job
Describe a dream job you would like.,My sister is a doctor.,irrelevant,Family occupation unrelated
Describe a dream job you would like.,The table is very big.,irrelevant,Object description unrelated
Describe a dream job you would like.,I drink coffee every morning.,irrelevant,Beverage habit unrelated

What do you like about autumn season?,I love the colorful leaves and cool breeze.,relevant,Good autumn feature
What do you like about autumn season?,I enjoy the harvest season and festivals.,relevant,Relevant autumn quality
What do you like about autumn season?,I like the comfortable weather for outdoor walks.,relevant,Correct autumn feature
What do you like about autumn season?,My cousin is a lawyer.,irrelevant,Family occupation unrelated
What do you like about autumn season?,The glass is very clean.,irrelevant,Object description unrelated
What do you like about autumn season?,I sleep early every night.,irrelevant,Sleep habit unrelated

Describe a type of weather you dislike.,I dislike heavy rain because it causes floods.,relevant,Good disliked weather
Describe a type of weather you dislike.,I don't like extreme heat because it's uncomfortable.,relevant,Relevant weather dislike
Describe a type of weather you dislike.,I dislike strong winds as they are destructive.,relevant,Correct weather dislike
Describe a type of weather you dislike.,My brother is a businessman.,irrelevant,Family occupation unrelated
Describe a type of weather you dislike.,The pen is out of ink.,irrelevant,Object description unrelated
Describe a type of weather you dislike.,I eat lunch at 2 PM.,irrelevant,Meal habit unrelated

What is your favorite type of cheese?,I love mozzarella cheese on pizza.,relevant,Good cheese preference
What is your favorite type of cheese?,I enjoy cheddar cheese in sandwiches.,relevant,Relevant cheese preference
What is your favorite type of cheese?,I like parmesan cheese on pasta.,relevant,Correct cheese preference
What is your favorite type of cheese?,My aunt is a teacher.,irrelevant,Family occupation unrelated
What is your favorite type of cheese?,The wall is painted yellow.,irrelevant,Room description unrelated
What is your favorite type of cheese?,I go jogging every evening.,irrelevant,Exercise habit unrelated

Describe a language you want to learn.,I want to learn Spanish because it sounds beautiful.,relevant,Good language preference
Describe a language you want to learn.,I want to learn French for traveling.,relevant,Relevant language goal
Describe a language you want to learn.,I want to learn Japanese to watch anime.,relevant,Correct language preference
Describe a language you want to learn.,My uncle is a doctor.,irrelevant,Family occupation unrelated
Describe a language you want to learn.,The road is very clean.,irrelevant,Road description unrelated
Describe a language you want to learn.,I drink juice every day.,irrelevant,Beverage habit unrelated

What do you like about your garden?,I love the colorful flowers in my garden.,relevant,Good garden feature
What do you like about your garden?,I enjoy the fresh vegetables I grow there.,relevant,Relevant garden quality
What do you like about your garden?,I like the peaceful atmosphere in my garden.,relevant,Correct garden feature
What do you like about your garden?,My sister is a nurse.,irrelevant,Family occupation unrelated
What do you like about your garden?,The cup is very hot.,irrelevant,Object description unrelated
What do you like about your garden?,I take the train to work.,irrelevant,Transport habit unrelated

Describe a celebration you had recently.,I celebrated my birthday with close friends.,relevant,Good recent celebration
Describe a celebration you had recently.,We celebrated Dashain with family gatherings.,relevant,Relevant celebration experience
Describe a celebration you had recently.,I celebrated my promotion at work.,relevant,Correct celebration description
Describe a celebration you had recently.,My cousin is a pilot.,irrelevant,Family occupation unrelated
Describe a celebration you had recently.,The sky is very cloudy.,irrelevant,Weather description unrelated
Describe a celebration you had recently.,I wake up at 7 AM daily.,irrelevant,Daily routine unrelated

What is your favorite type of dessert?,I love chocolate cake with ice cream.,relevant,Good dessert preference
What is your favorite type of dessert?,I enjoy mango pudding in summer.,relevant,Relevant dessert preference
What is your favorite type of dessert?,I like apple pie with cinnamon.,relevant,Correct dessert preference
What is your favorite type of dessert?,My brother is a mechanic.,irrelevant,Family occupation unrelated
What is your favorite type of dessert?,The table is very shiny.,irrelevant,Object description unrelated
What is your favorite type of dessert?,I walk my dog every morning.,irrelevant,Daily routine unrelated

Describe a person who inspires you.,My mother inspires me with her strength.,relevant,Good inspiration description
Describe a person who inspires you.,My teacher inspires me with his knowledge.,relevant,Relevant inspiration source
Describe a person who inspires you.,A famous scientist inspires my curiosity.,relevant,Correct inspiration description
Describe a person who inspires you?,My aunt is a lawyer.,irrelevant,Family occupation unrelated
Describe a person who inspires you?,The tree is very old.,irrelevant,Nature description unrelated
Describe a person who inspires you?,I eat breakfast at 8 AM.,irrelevant,Meal habit unrelated

What do you like about your bedroom?,I love the comfortable bed and soft pillows.,relevant,Good bedroom feature
What do you like about your bedroom?,I enjoy the quiet atmosphere in my room.,relevant,Relevant bedroom quality
What do you like about your bedroom?,I like the large windows for sunlight.,relevant,Correct bedroom feature
What do you like about your bedroom?,My cousin is a doctor.,irrelevant,Family occupation unrelated
What do you like about your bedroom?,The floor is very cold.,irrelevant,Room description unrelated
What do you like about your bedroom?,I drink hot chocolate at night.,irrelevant,Beverage habit unrelated

Describe a movie character you like.,I love Harry Potter for his bravery and loyalty.,relevant,Good character description
Describe a movie character you like.,I like James Bond for his confidence.,relevant,Relevant character preference
Describe a movie character you like.,I admire Iron Man for his intelligence.,relevant,Correct character description
Describe a movie character you like.,My uncle is a farmer.,irrelevant,Family occupation unrelated
Describe a movie character you like.,The road is very narrow.,irrelevant,Road description unrelated
Describe a movie character you like.,I take a shower every day.,irrelevant,Hygiene habit unrelated

What is your favorite type of tree?,I love the mango tree for its delicious fruit.,relevant,Good tree preference
What is your favorite type of tree?,I like the banyan tree for its shade.,relevant,Relevant tree preference
What is your favorite type of tree?,I enjoy the pine tree for its fragrance.,relevant,Correct tree preference
What is your favorite type of tree?,My sister is a nurse.,irrelevant,Family occupation unrelated
What is your favorite type of tree?,The glass is very shiny.,irrelevant,Object description unrelated
What is your favorite type of tree?,I read books every morning.,irrelevant,Reading habit unrelated

Describe a place you go to relax.,I go to the park to relax and enjoy nature.,relevant,Good relaxing place
Describe a place you go to relax.,I relax at home reading books.,relevant,Relevant relaxation place
Describe a place you go to relax.,I go to the beach to relax and swim.,relevant,Correct relaxation place
Describe a place you go to relax.,My cousin is a teacher.,irrelevant,Family occupation unrelated
Describe a place you go to relax.,The mirror is very clean.,irrelevant,Object description unrelated
Describe a place you go to relax.,I eat dinner at 9 PM.,irrelevant,Meal habit unrelated

What do you like about your workplace?,I love the friendly colleagues I work with.,relevant,Good workplace feature
What do you like about your workplace?,I enjoy the modern facilities and equipment.,relevant,Relevant workplace quality
What do you like about your workplace?,I like the flexible working hours.,relevant,Correct workplace feature
What do you like about your workplace?,My brother is a pilot.,irrelevant,Family occupation unrelated
What do you like about your workplace?,The door is very tall.,irrelevant,Object description unrelated
What do you like about your workplace?,I drink tea at 10 AM.,irrelevant,Beverage habit unrelated

Describe a type of dance you like.,I love traditional Nepali dance performances.,relevant,Good dance preference
Describe a type of dance you like.,I enjoy salsa dancing for its energy.,relevant,Relevant dance type
Describe a type of dance you like.,I like classical ballet for its grace.,relevant,Correct dance preference
Describe a type of dance you like.,My uncle is a lawyer.,irrelevant,Family occupation unrelated
Describe a type of dance you like.,The river is very wide.,irrelevant,Nature description unrelated
Describe a type of dance you like.,I wake up early every day.,irrelevant,Daily routine unrelated

What is your favorite type of nut?,I love almonds for their health benefits.,relevant,Good nut preference
What is your favorite type of nut?,I enjoy cashews in various dishes.,relevant,Relevant nut preference
What is your favorite type of nut?,I like walnuts in my desserts.,relevant,Correct nut preference
What is your favorite type of nut?,My cousin is a mechanic.,irrelevant,Family occupation unrelated
What is your favorite type of nut?,The stairs are very steep.,irrelevant,Building description unrelated
What is your favorite type of nut?,I walk to school every day.,irrelevant,Transport habit unrelated

Describe a sport you want to learn.,I want to learn tennis because it looks fun.,relevant,Good sport to learn
Describe a sport you want to learn.,I want to learn golf for relaxation.,relevant,Relevant sport goal
Describe a sport you want to learn.,I want to learn swimming for safety.,relevant,Correct sport description
Describe a sport you want to learn.,My sister is a doctor.,irrelevant,Family occupation unrelated
Describe a sport you want to learn.,The carpet is very soft.,irrelevant,Object description unrelated
Describe a sport you want to learn.,I drink water every hour.,irrelevant,Beverage habit unrelated

What do you like about your balcony?,I love the view of the city from my balcony.,relevant,Good balcony feature
What do you like about your balcony?,I enjoy having plants and flowers there.,relevant,Relevant balcony quality
What do you like about your balcony?,I like sitting there to enjoy fresh air.,relevant,Correct balcony feature
What do you like about your balcony?,My aunt is a teacher.,irrelevant,Family occupation unrelated
What do you like about your balcony?,The wall is very thick.,irrelevant,Room description unrelated
What do you like about your balcony?,I eat lunch at 12 PM.,irrelevant,Meal habit unrelated

Describe a festival food you like.,I love the special sweets made during Tihar.,relevant,Good festival food
Describe a festival food you like.,I enjoy the traditional feast on Dashain.,relevant,Relevant festival food
Describe a festival food you like.,I like the special bread made during festivals.,relevant,Correct festival food
Describe a festival food you like.,My brother is a farmer.,irrelevant,Family occupation unrelated
Describe a festival food you like.,The kitchen is very bright.,irrelevant,Room description unrelated
Describe a festival food you like.,I sleep for 7 hours daily.,irrelevant,Sleep habit unrelated

What is your favorite type of sauce?,I love tomato sauce with pasta and pizza.,relevant,Good sauce preference
What is your favorite type of sauce?,I enjoy soy sauce with Asian dishes.,relevant,Relevant sauce preference
What is your favorite type of sauce?,I like hot sauce for its spiciness.,relevant,Correct sauce preference
What is your favorite type of sauce?,My cousin is a pilot.,irrelevant,Family occupation unrelated
What is your favorite type of sauce?,The door is painted red.,irrelevant,Room description unrelated
What is your favorite type of sauce?,I brush my teeth twice daily.,irrelevant,Hygiene habit unrelated

Describe a lesson you learned in life.,I learned that hard work always pays off.,relevant,Good life lesson
Describe a lesson you learned in life.,I learned to be kind and honest with everyone.,relevant,Relevant life lesson
Describe a lesson you learned in life.,I learned that failure is part of success.,relevant,Correct life lesson
Describe a lesson you learned in life.,My uncle is a businessman.,irrelevant,Family occupation unrelated
Describe a lesson you learned in life.,The sun is very bright.,irrelevant,Nature description unrelated
Describe a lesson you learned in life.,I drink coffee every evening.,irrelevant,Beverage habit unrelated

What is your favorite type of vegetable?,I love broccoli because it is healthy and tasty.,relevant,Good vegetable preference
What is your favorite type of vegetable?,I enjoy carrots for their sweet taste and crunch.,relevant,Relevant vegetable preference
What is your favorite type of vegetable?,I like spinach in soups and salads.,relevant,Correct vegetable preference
What is your favorite type of vegetable?,My sister is a lawyer.,irrelevant,Family occupation unrelated
What is your favorite type of vegetable?,The lamp is very bright.,irrelevant,Object description unrelated
What is your favorite type of vegetable?,I walk to the store every day.,irrelevant,Daily routine unrelated

Describe a historical place you visited.,I visited the ancient temples of Kathmandu.,relevant,Good historical place
Describe a historical place you visited.,I went to Lumbini where Buddha was born.,relevant,Relevant historical site
Describe a historical place you visited.,I visited the old palace in Patan.,relevant,Correct historical place
Describe a historical place you visited.,My cousin is a doctor.,irrelevant,Family occupation unrelated
Describe a historical place you visited.,The garden is very green.,irrelevant,Nature description unrelated
Describe a historical place you visited.,I drink milk every morning.,irrelevant,Beverage habit unrelated

What do you like about your kitchen?,I love the modern appliances and spacious counter.,relevant,Good kitchen feature
What do you like about your kitchen?,I enjoy cooking meals for my family there.,relevant,Relevant kitchen quality
What do you like about your kitchen?,I like the natural light from the windows.,relevant,Correct kitchen feature
What do you like about your kitchen?,My uncle is a mechanic.,irrelevant,Family occupation unrelated
What do you like about your kitchen?,The sofa is very comfortable.,irrelevant,Object description unrelated
What do you like about your kitchen?,I sleep at 11 PM every night.,irrelevant,Sleep habit unrelated

Describe a type of weather you enjoy.,I enjoy sunny days for outdoor activities.,relevant,Good weather preference
Describe a type of weather you enjoy.,I love rainy days for cozy indoor time.,relevant,Relevant weather enjoyment
Describe a type of weather you enjoy.,I like cloudy days for their coolness.,relevant,Correct weather preference
Describe a type of weather you enjoy.,My brother is a teacher.,irrelevant,Family occupation unrelated
Describe a type of weather you enjoy.,The floor is very shiny.,irrelevant,Room description unrelated
Describe a type of weather you enjoy.,I eat breakfast at 7 AM.,irrelevant,Meal habit unrelated

What is your favorite type of seafood?,I love fish especially grilled with herbs.,relevant,Good seafood preference
What is your favorite type of seafood?,I enjoy prawns in spicy curry.,relevant,Relevant seafood preference
What is your favorite type of seafood?,I like crab for its sweet meat.,relevant,Correct seafood preference
What is your favorite type of seafood?,My aunt is a nurse.,irrelevant,Family occupation unrelated
What is your favorite type of seafood?,The pen is very small.,irrelevant,Object description unrelated
What is your favorite type of seafood?,I take the bus to work.,irrelevant,Transport habit unrelated

Describe a teacher you had in school.,My class teacher was very kind and helpful.,relevant,Good teacher description
Describe a teacher you had in school.,My science teacher made experiments fun.,relevant,Relevant teacher memory
Describe a teacher you had in school.,My English teacher encouraged me to write.,relevant,Correct teacher description
Describe a teacher you had in school.,My cousin is a pilot.,irrelevant,Family occupation unrelated
Describe a teacher you had in school.,The river flows very fast.,irrelevant,Nature description unrelated
Describe a teacher you had in school.,I drink juice every evening.,irrelevant,Beverage habit unrelated

What do you like about your college?,I love the beautiful campus and green surroundings.,relevant,Good college feature
What do you like about your college?,I enjoy the modern library and study areas.,relevant,Relevant college quality
What do you like about your college?,I like the friendly students and teachers.,relevant,Correct college feature
